rulename diff lwr upr padj
拒絶-期待（予測） 17.6 10.4885029806411 24.711497019359 8.78408457083424e-13
嫌悪-期待（予測） 17.6999999999999 10.588502980641 24.8114970193589 8.81850148459762e-13
悲しみ-期待（予測） 17.8 10.6885029806411 24.911497019359 8.80295836225287e-13
憤慨-期待（予測） 18.9 11.788502980641 26.0114970193589 8.67750316047022e-13
恥辱-期待（予測） 19.7 12.588502980641 26.811497019359 8.38107361289531e-13
悲憤-期待（予測） 20.2 13.088502980641 27.3114970193589 7.9569684174885e-13
憎悪-期待（予測） 20.8 13.688502980641 27.911497019359 7.11763981087188e-13
絶望-期待（予測） 24.3 17.1885029806411 31.411497019359 5.74984504453369e-13
自尊心-楽観 1.19999999999991 -5.91149701935905 8.31149701935886 1
運命-楽観 1.19999999999994 -5.91149701935901 8.31149701935889 1
驚き-楽観 2.19999999999994 -4.91149701935902 9.31149701935889 0.999999225772088
感傷-楽観 9.19999999999997 2.08850298064102 16.3114970193589 0.000582131867934321
不安-楽観 9.59999999999991 2.48850298064096 16.7114970193589 0.00021340914740875
不健全-楽観 9.8999999999999 2.78850298064094 17.0114970193588 9.78800362282373e-05
皮肉-楽観 9.9999999999999 2.88850298064095 17.1114970193589 7.51138157576436e-05
後悔-楽観 10.5999999999999 3.48850298064093 17.7114970193588 1.46038691298811e-05
罪悪感-楽観 10.6999999999999 3.58850298064092 17.8114970193588 1.10275934291915e-05
服従-楽観 11.3999999999999 4.28850298064094 18.5114970193588 1.45389255612471e-06
攻撃-楽観 12.1999999999999 5.08850298064095 19.3114970193589 1.27134451077815e-07
軽蔑-楽観 12.8999999999999 5.78850298064096 20.0114970193589 1.36637688941121e-08
恐れ-楽観 13.2999999999999 6.18850298064099 20.4114970193589 3.67471175710676e-09
怒り-楽観 13.4999999999999 6.38850298064095 20.6114970193589 1.88661353206498e-09
畏怖-楽観 14.8999999999999 7.78850298064099 22.0114970193589 1.57024393487859e-11
悲観-楽観 15.8999999999999 8.78850298064094 23.0114970193588 1.27442500996722e-12
拒絶-楽観 16.4999999999999 9.38850298064096 23.6114970193589 9.0472074276704e-13
嫌悪-楽観 16.5999999999998 9.48850298064088 23.7114970193588 9.0649709960644e-13
悲しみ-楽観 16.6999999999999 9.58850298064099 23.8114970193589 8.84070594509012e-13
憤慨-楽観 17.7999999999999 10.6885029806409 24.9114970193588 8.80295836225287e-13
恥辱-楽観 18.5999999999999 11.488502980641 25.7114970193589 8.94839757847876e-13
悲憤-楽観 19.0999999999999 11.9885029806409 26.2114970193588 8.77742323268649e-13
憎悪-楽観 19.6999999999999 12.5885029806409 26.8114970193589 8.38107361289531e-13
絶望-楽観 23.1999999999999 16.088502980641 30.3114970193589 5.77204950502619e-13
運命-自尊心 3.5527136788005e-14 -7.11149701935892 7.11149701935899 1
驚き-自尊心 1.00000000000003 -6.11149701935892 8.11149701935899 1
感傷-自尊心 8.00000000000007 0.888502980641114 15.111497019359 0.00899069268786257
不安-自尊心 8.40000000000001 1.28850298064106 15.511497019359 0.0037911851749326
不健全-自尊心 8.69999999999999 1.58850298064104 15.8114970193589 0.00191927138017955
皮肉-自尊心 8.79999999999999 1.68850298064104 15.9114970193589 0.00152051460934544
後悔-自尊心 9.39999999999998 2.28850298064102 16.5114970193589 0.000354320202971659
罪悪感-自尊心 9.49999999999997 2.38850298064101 16.6114970193589 0.000275337425653444
服従-自尊心 10.2 3.08850298064103 17.3114970193589 4.39196164953026e-05
攻撃-自尊心 11 3.88850298064104 18.1114970193589 4.68655059726597e-06
軽蔑-自尊心 11.7 4.58850298064106 18.811497019359 5.91598919075231e-07
恐れ-自尊心 12.1 4.98850298064108 19.211497019359 1.73567661687635e-07
怒り-自尊心 12.3 5.18850298064105 19.411497019359 9.29495895807264e-08
畏怖-自尊心 13.7 6.58850298064108 20.811497019359 9.62395385606385e-10
悲観-自尊心 14.7 7.58850298064104 21.8114970193589 3.10195202857244e-11
拒絶-自尊心 15.3 8.18850298064105 22.411497019359 4.40458780559538e-12
嫌悪-自尊心 15.3999999999999 8.28850298064098 22.5114970193589 3.35342864588029e-12
悲しみ-自尊心 15.5 8.38850298064109 22.611497019359 2.60069743518443e-12
憤慨-自尊心 16.6 9.48850298064103 23.7114970193589 9.0649709960644e-13
恥辱-自尊心 17.4 10.2885029806411 24.511497019359 8.86068995953337e-13
悲憤-自尊心 17.9 10.788502980641 25.0114970193589 8.85957973650875e-13
憎悪-自尊心 18.5 11.388502980641 25.611497019359 8.63198401646059e-13
絶望-自尊心 22 14.8885029806411 29.111497019359 6.01629857044372e-13
驚き-運命 0.999999999999996 -6.11149701935896 8.11149701935895 1
感傷-運命 8.00000000000003 0.888502980641078 15.111497019359 0.00899069268786234
不安-運命 8.39999999999997 1.28850298064102 15.5114970193589 0.00379118517493171
不健全-運命 8.69999999999996 1.588502980641 15.8114970193589 0.00191927138017967
皮肉-運命 8.79999999999996 1.688502980641 15.9114970193589 0.00152051460934566
後悔-運命 9.39999999999994 2.28850298064099 16.5114970193589 0.000354320202971214
罪悪感-運命 9.49999999999993 2.38850298064098 16.6114970193589 0.000275337425652999
服従-運命 10.1999999999999 3.088502980641 17.3114970193589 4.39196164954136e-05
攻撃-運命 11 3.88850298064101 18.1114970193589 4.68655059704393e-06
軽蔑-運命 11.7 4.58850298064102 18.8114970193589 5.91598919075231e-07
恐れ-運命 12.1 4.98850298064104 19.211497019359 1.73567662353769e-07
怒り-運命 12.3 5.18850298064101 19.4114970193589 9.29495895807264e-08
畏怖-運命 13.7 6.58850298064105 20.811497019359 9.623960517402e-10
悲観-運命 14.7 7.588502980641 21.8114970193589 3.10195202857244e-11
拒絶-運命 15.3 8.18850298064102 22.4114970193589 4.40458780559538e-12
嫌悪-運命 15.3999999999999 8.28850298064095 22.5114970193589 3.35342864588029e-12
悲しみ-運命 15.5 8.38850298064105 22.611497019359 2.60069743518443e-12
憤慨-運命 16.6 9.488502980641 23.7114970193589 9.0649709960644e-13
恥辱-運命 17.4 10.288502980641 24.5114970193589 8.86068995953337e-13
悲憤-運命 17.8999999999999 10.788502980641 25.0114970193589 8.85957973650875e-13
憎悪-運命 18.5 11.388502980641 25.6114970193589 8.63198401646059e-13
絶望-運命 22 14.888502980641 29.1114970193589 6.01629857044372e-13
感傷-驚き 7.00000000000004 -0.111497019358918 14.111497019359 0.0606670772938437
不安-驚き 7.39999999999998 0.288502980641024 14.5114970193589 0.0296019781198233
不健全-驚き 7.69999999999996 0.588502980641007 14.8114970193589 0.0165828635414758
皮肉-驚き 7.79999999999996 0.688502980641008 14.9114970193589 0.0135696317436663
後悔-驚き 8.39999999999995 1.28850298064099 15.5114970193589 0.0037911851749326
罪悪感-驚き 8.49999999999994 1.38850298064098 15.6114970193589 0.00303077156272913
服従-驚き 9.19999999999995 2.088502980641 16.3114970193589 0.000582131867934543
攻撃-驚き 9.99999999999996 2.88850298064101 17.1114970193589 7.51138157568665e-05
軽蔑-驚き 10.7 3.58850298064102 17.8114970193589 1.10275934277482e-05
恐れ-驚き 11.1 3.98850298064105 18.211497019359 3.50853330555179e-06
怒り-驚き 11.3 4.18850298064102 18.4114970193589 1.95413763015573e-06
畏怖-驚き 12.7 5.58850298064105 19.811497019359 2.60757775372156e-08
悲観-驚き 13.7 6.58850298064101 20.8114970193589 9.623960517402e-10
