rulename,diff,lwr,upr,padj
感傷-感動,12.7,5.588502981,19.81149702,2.61E-08
不安-感動,13.1,5.988502981,20.21149702,7.11E-09
不健全-感動,13.4,6.288502981,20.51149702,2.64E-09
皮肉-感動,13.5,6.388502981,20.61149702,1.89E-09
後悔-感動,14.1,6.988502981,21.21149702,2.46E-10
罪悪感-感動,14.2,7.088502981,21.31149702,1.74E-10
服従-感動,14.9,7.788502981,22.01149702,1.57E-11
攻撃-感動,15.7,8.588502981,22.81149702,1.71E-12
軽蔑-感動,16.4,9.288502981,23.51149702,9.36E-13
恐れ-感動,16.8,9.688502981,23.91149702,8.79E-13
怒り-感動,17,9.888502981,24.11149702,8.85E-13
畏怖-感動,18.4,11.28850298,25.51149702,8.84E-13
悲観-感動,19.4,12.28850298,26.51149702,8.59E-13
拒絶-感動,20,12.88850298,27.11149702,8.18E-13
嫌悪-感動,20.1,12.98850298,27.21149702,8.17E-13
悲しみ-感動,20.2,13.08850298,27.31149702,7.96E-13
憤慨-感動,21.3,14.18850298,28.41149702,6.50E-13
恥辱-感動,22.1,14.98850298,29.21149702,5.97E-13
悲憤-感動,22.6,15.48850298,29.71149702,5.84E-13
